database|detection_method|evidence|evidence_type|label|source|source_id|source_type|source_url|target_id|target_type|taxon_id
"[""FANTOM4_via_DoRothEA"", ""GTRD"", ""ReMap"", ""TRED"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:10931834"", ""pubmed:17944672"", ""pubmed:29126285"", ""pubmed:12471115"", ""pubmed:19766095"", ""pubmed:1512542"", ""pubmed:18566231"", ""pubmed:21790895"", ""pubmed:12894581"", ""pubmed:20211142"", ""pubmed:19469019"", ""pubmed:17673602"", ""pubmed:17018379"", ""pubmed:27924024"", ""pubmed:18184402"", ""pubmed:17202159"", ""pubmed:11114727"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000173039|gene|tflink.net|ENSG00000136997|gene|9606
"[""TRED""]"|inferred by curator|"[""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000104856|gene|tflink.net|ENSG00000007908|gene|9606
"[""GTRD"", ""ReMap"", ""TRED"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:8132514"", ""pubmed:10448078"", ""pubmed:27924024"", ""pubmed:17202159"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000185591|gene|tflink.net|ENSG00000115758|gene|9606
"[""GTRD"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:27924024"", ""pubmed:29087512"", ""pubmed:11502209""]"|small_scale_evidence|regulates|TFLink|ENSG00000173039|gene|tflink.net|ENSG00000169403|gene|9606
"[""GTRD"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:20805247"", ""pubmed:29087512"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000102034|gene|tflink.net|ENSG00000141510|gene|9606
"[""GTRD"", ""HTRI"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation array chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:21432868"", ""pubmed:20610535"", ""pubmed:27924024"", ""pubmed:29087512"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000169083|gene|tflink.net|ENSG00000167323|gene|9606
"[""ORegAnno"", ""PAZAR"", ""TRED""]"|inferred by curator|"[""pubmed:17202159"", ""pubmed:18971253"", ""pubmed:26578589""]"|small_scale_evidence|regulates|TFLink|ENSG00000205250|gene|tflink.net|ENSG00000204385|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:22897850"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000136630|gene|tflink.net|ENSG00000133639|gene|9606
"[""TRED""]"|inferred by curator|"[""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000077092|gene|tflink.net|ENSG00000116745|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:16007146"", ""pubmed:29087512"", ""pubmed:29126285"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000073282|gene|tflink.net|ENSG00000087088|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:17468179"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000156925|gene|tflink.net|ENSG00000175206|gene|9606
"[""GTRD"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29087512"", ""pubmed:27924024"", ""pubmed:11742062""]"|small_scale_evidence|regulates|TFLink|ENSG00000122592|gene|tflink.net|ENSG00000105325|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000169083|gene|tflink.net|ENSG00000084207|gene|9606
"[""GTRD"", ""ORegAnno"", ""PAZAR"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:26578589"", ""pubmed:18971253"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000120738|gene|tflink.net|ENSG00000068078|gene|9606
"[""GTRD"", ""HTRI"", ""ORegAnno"", ""PAZAR"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:26578589"", ""pubmed:20019798"", ""pubmed:18971253"", ""pubmed:27924024"", ""pubmed:17202159"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000134954|gene|tflink.net|ENSG00000161638|gene|9606
"[""GTRD"", ""ORegAnno"", ""PAZAR"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:26578589"", ""pubmed:18971253"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000245848|gene|tflink.net|ENSG00000105723|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:14507979"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000177030|gene|tflink.net|ENSG00000178394|gene|9606
"[""GTRD"", ""ReMap"", ""TFactS_via_DoRothea""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:18006828"", ""pubmed:22761861"", ""pubmed:29126285"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000148737|gene|tflink.net|ENSG00000119888|gene|9606
"[""TRED""]"|inferred by curator|"[""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000170345|gene|tflink.net|ENSG00000107317|gene|9606
"[""FANTOM4_via_DoRothEA""]"|inferred by curator|"[""pubmed:11554739"", ""pubmed:20211142""]"|small_scale_evidence|regulates|TFLink|ENSG00000069667|gene|tflink.net|ENSG00000132170|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:16254079""]"|small_scale_evidence|regulates|TFLink|ENSG00000169375|gene|tflink.net|ENSG00000142515|gene|9606
"[""GTRD"", ""ORegAnno"", ""PAZAR"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:26578589"", ""pubmed:18971253"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000134954|gene|tflink.net|ENSG00000167889|gene|9606
"[""GTRD"", ""ReMap"", ""TRED"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:8576171"", ""pubmed:27924024"", ""pubmed:17202159"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000177606|gene|tflink.net|ENSG00000162772|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:19231596"", ""pubmed:29087512"", ""pubmed:29126285"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000071564|gene|tflink.net|ENSG00000091181|gene|9606
"[""GTRD"", ""HTRI"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:12695333"", ""pubmed:27924024"", ""pubmed:17202159"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000136997|gene|tflink.net|ENSG00000169194|gene|9606
"[""TRED""]"|inferred by curator|"[""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000007968|gene|tflink.net|ENSG00000249437|gene|9606
"[""HTRI""]"|electrophoretic mobility shift assay inferred by curator|"[""pubmed:20042643"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000118260|gene|tflink.net|ENSG00000169469|gene|9606
"[""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:21542013"", ""pubmed:29087512"", ""pubmed:29126285""]"|small_scale_evidence|regulates|TFLink|ENSG00000124813|gene|tflink.net|ENSG00000162337|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000169083|gene|tflink.net|ENSG00000060971|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:16604092"", ""pubmed:29087512"", ""pubmed:29126285"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000173039|gene|tflink.net|ENSG00000183625|gene|9606
"[""GTRD"", ""ReMap"", ""TFactS_via_DoRothea""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:22761861"", ""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:19657746""]"|small_scale_evidence|regulates|TFLink|ENSG00000101412|gene|tflink.net|ENSG00000140941|gene|9606
"[""TRED""]"|inferred by curator|"[""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000205250|gene|tflink.net|ENSG00000142515|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:23485603"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000075426|gene|tflink.net|ENSG00000029559|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000132170|gene|tflink.net|ENSG00000166949|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:20707719""]"|small_scale_evidence|regulates|TFLink|ENSG00000111653|gene|tflink.net|ENSG00000087088|gene|9606
"[""TRED""]"|inferred by curator|"[""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000007968|gene|tflink.net|ENSG00000173825|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000205250|gene|tflink.net|ENSG00000100077|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:22269951"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000078399|gene|tflink.net|ENSG00000162692|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:12204775"", ""pubmed:29087512"", ""pubmed:29126285"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000187098|gene|tflink.net|ENSG00000258839|gene|9606
"[""ORegAnno"", ""PAZAR"", ""TRED"", ""TRRUST""]"|inferred by curator|"[""pubmed:26578589"", ""pubmed:18971253"", ""pubmed:17202159"", ""pubmed:29087512"", ""pubmed:7867724""]"|small_scale_evidence|regulates|TFLink|ENSG00000157557|gene|tflink.net|ENSG00000170312|gene|9606
"[""IntAct_via_DoRothEA""]"|inferred by curator|"[""pubmed:26175416"", ""pubmed:24234451""]"|small_scale_evidence|regulates|TFLink|ENSG00000141027|gene|tflink.net|ENSG00000197888|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:18844071"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000135363|gene|tflink.net|ENSG00000170180|gene|9606
"[""DoRothEA"", ""GTRD"", ""ReMap""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:18431400"", ""pubmed:31340985"", ""pubmed:29126285"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000141510|gene|tflink.net|ENSG00000170421|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:21984905"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000110711|gene|tflink.net|ENSG00000048649|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29087512"", ""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:18706393""]"|small_scale_evidence|regulates|TFLink|ENSG00000185591|gene|tflink.net|ENSG00000079432|gene|9606
"[""GTRD"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29087512"", ""pubmed:27924024"", ""pubmed:18701434""]"|small_scale_evidence|regulates|TFLink|ENSG00000185591|gene|tflink.net|ENSG00000156076|gene|9606
"[""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000141905|gene|tflink.net|ENSG00000158480|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:29087512"", ""pubmed:21544813"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000143437|gene|tflink.net|ENSG00000123374|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:21266110"", ""pubmed:29087512"", ""pubmed:29126285"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000109320|gene|tflink.net|ENSG00000166197|gene|9606
"[""GTRD"", ""HTRI"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation array chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:18414489"", ""pubmed:17202159"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000136997|gene|tflink.net|ENSG00000196262|gene|9606
"[""DoRothEA"", ""GTRD"", ""HTRI"", ""ReMap""]"|chromatin immunoprecipitation array chromatin immunoprecipitation assay inferred by curator|"[""pubmed:17721441"", ""pubmed:20610535"", ""pubmed:29126285"", ""pubmed:31340985"", ""pubmed:27924024"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000169083|gene|tflink.net|ENSG00000008086|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:16707624"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000147274|gene|tflink.net|ENSG00000171223|gene|9606
"[""HTRI"", ""TRRUST""]"|chromatin immunoprecipitation assay electrophoretic mobility shift assay inferred by curator|"[""pubmed:22900683"", ""pubmed:29087512"", ""pubmed:20621834""]"|small_scale_evidence|regulates|TFLink|ENSG00000101076|gene|tflink.net|ENSG00000223953|gene|9606
"[""TRED""]"|inferred by curator|"[""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000245848|gene|tflink.net|ENSG00000163207|gene|9606
"[""DoRothEA"", ""GTRD"", ""ORegAnno"", ""PAZAR""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:18431400"", ""pubmed:31340985"", ""pubmed:26578589"", ""pubmed:18971253"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000141510|gene|tflink.net|ENSG00000166257|gene|9606
"[""HTRI"", ""TFactS_via_DoRothea"", ""TFe_via_DoRothEA"", ""TRRUST""]"|DNase I footprinting electrophoretic mobility shift assay inferred by curator|"[""pubmed:15200677"", ""pubmed:22458515"", ""pubmed:10385407"", ""pubmed:15987820"", ""pubmed:22761861"", ""pubmed:21401636"", ""pubmed:23603247"", ""pubmed:29087512"", ""pubmed:17609436"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000150907|gene|tflink.net|ENSG00000146678|gene|9606
"[""GTRD"", ""ReMap"", ""TFactS_via_DoRothea"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:22378194"", ""pubmed:18338330"", ""pubmed:17068183"", ""pubmed:15860457"", ""pubmed:22761861"", ""pubmed:27924024"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000204531|gene|tflink.net|ENSG00000111704|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:24667650"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000168036|gene|tflink.net|ENSG00000134363|gene|9606
"[""FANTOM4_via_DoRothEA"", ""GTRD"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:17202159"", ""pubmed:20211142"", ""pubmed:27924024"", ""pubmed:8262046""]"|small_scale_evidence|regulates|TFLink|ENSG00000162924|gene|tflink.net|ENSG00000100906|gene|9606
"[""GTRD"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000136997|gene|tflink.net|ENSG00000132676|gene|9606
"[""GTRD"", ""HTRI"", ""ReMap"", ""TRED"", ""TRRUST""]"|chromatin immunoprecipitation assay electrophoretic mobility shift assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:15039136"", ""pubmed:17202159"", ""pubmed:29087512"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000116016|gene|tflink.net|ENSG00000106366|gene|9606
"[""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000137203|gene|tflink.net|ENSG00000136487|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:14769944"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000109906|gene|tflink.net|ENSG00000171791|gene|9606
"[""GTRD"", ""HTRI"", ""ORegAnno"", ""PAZAR"", ""ReMap"", ""TFactS_via_DoRothea"", ""TRRUST""]"|chromatin immunoprecipitation assay electrophoretic mobility shift assay inferred by curator|"[""pubmed:1999537"", ""pubmed:29126285"", ""pubmed:18451137"", ""pubmed:19067971"", ""pubmed:26578589"", ""pubmed:22761861"", ""pubmed:18971253"", ""pubmed:27924024"", ""pubmed:29087512"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000187098|gene|tflink.net|ENSG00000101197|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29087512"", ""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:21514437""]"|small_scale_evidence|regulates|TFLink|ENSG00000141448|gene|tflink.net|ENSG00000105974|gene|9606
"[""TRED"", ""TRRUST""]"|inferred by curator|"[""pubmed:20110263"", ""pubmed:17202159"", ""pubmed:29087512"", ""pubmed:16713233""]"|small_scale_evidence|regulates|TFLink|ENSG00000186951|gene|tflink.net|ENSG00000135218|gene|9606
"[""GTRD"", ""ReMap"", ""TFactS_via_DoRothea""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:8706718"", ""pubmed:29126285"", ""pubmed:22761861"", ""pubmed:27924024"", ""pubmed:7610049""]"|small_scale_evidence|regulates|TFLink|ENSG00000175745|gene|tflink.net|ENSG00000091513|gene|9606
"[""HTRI"", ""TRRUST""]"|electrophoretic mobility shift assay inferred by curator|"[""pubmed:10684967"", ""pubmed:29087512"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000172845|gene|tflink.net|ENSG00000136352|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:9484784""]"|small_scale_evidence|regulates|TFLink|ENSG00000184937|gene|tflink.net|ENSG00000170458|gene|9606
"[""GTRD"", ""HTRI"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:12695333"", ""pubmed:27924024"", ""pubmed:17202159"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000136997|gene|tflink.net|ENSG00000155926|gene|9606
"[""KEGG_via_DoRothEA"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29087512"", ""pubmed:29126285"", ""pubmed:12764144"", ""pubmed:27899662""]"|small_scale_evidence|regulates|TFLink|ENSG00000072310|gene|tflink.net|ENSG00000076555|gene|9606
"[""GTRD"", ""ReMap"", ""TFactS_via_DoRothea""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:22761861"", ""pubmed:27924024"", ""pubmed:29126285"", ""pubmed:15073165""]"|small_scale_evidence|regulates|TFLink|ENSG00000072310|gene|tflink.net|ENSG00000186480|gene|9606
"[""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29087512"", ""pubmed:29126285"", ""pubmed:10652194""]"|small_scale_evidence|regulates|TFLink|ENSG00000068305|gene|tflink.net|ENSG00000129991|gene|9606
"[""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:17909010"", ""pubmed:29087512"", ""pubmed:29126285""]"|small_scale_evidence|regulates|TFLink|ENSG00000168610|gene|tflink.net|ENSG00000233608|gene|9606
"[""GTRD"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000132170|gene|tflink.net|ENSG00000135929|gene|9606
"[""TRED""]"|inferred by curator|"[""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000066336|gene|tflink.net|ENSG00000160221|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000126561|gene|tflink.net|ENSG00000099985|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:21123766"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000198911|gene|tflink.net|ENSG00000138075|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:12663664"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000105698|gene|tflink.net|ENSG00000102245|gene|9606
"[""GTRD"", ""TRED"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:17202159"", ""pubmed:29087512"", ""pubmed:27924024"", ""pubmed:12071971""]"|small_scale_evidence|regulates|TFLink|ENSG00000105698|gene|tflink.net|ENSG00000111679|gene|9606
"[""GTRD"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000105698|gene|tflink.net|ENSG00000158470|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:17260016""]"|small_scale_evidence|regulates|TFLink|ENSG00000163877|gene|tflink.net|ENSG00000110092|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000118260|gene|tflink.net|ENSG00000100604|gene|9606
"[""TRED"", ""TRRUST""]"|inferred by curator|"[""pubmed:11274170"", ""pubmed:17202159"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000175832|gene|tflink.net|ENSG00000073756|gene|9606
"[""GTRD"", ""ORegAnno"", ""PAZAR"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:26578589"", ""pubmed:21689595"", ""pubmed:18971253"", ""pubmed:27924024"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000102974|gene|tflink.net|ENSG00000163635|gene|9606
"[""GTRD"", ""ReMap"", ""TRED"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:15466856"", ""pubmed:27924024"", ""pubmed:17202159"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000151702|gene|tflink.net|ENSG00000005961|gene|9606
"[""GTRD"", ""ORegAnno"", ""PAZAR"", ""TFactS_via_DoRothea"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:26578589"", ""pubmed:18524846"", ""pubmed:22761861"", ""pubmed:18971253"", ""pubmed:27924024"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000245848|gene|tflink.net|ENSG00000072832|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29087512"", ""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:9671466""]"|small_scale_evidence|regulates|TFLink|ENSG00000139687|gene|tflink.net|ENSG00000007968|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000101412|gene|tflink.net|ENSG00000167468|gene|9606
"[""GTRD"", ""HTRI"", ""ORegAnno"", ""PAZAR"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:26578589"", ""pubmed:20019798"", ""pubmed:18971253"", ""pubmed:27924024"", ""pubmed:17202159"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000134954|gene|tflink.net|ENSG00000227507|gene|9606
"[""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:20335167"", ""pubmed:29087512"", ""pubmed:29126285""]"|small_scale_evidence|regulates|TFLink|ENSG00000197933|gene|tflink.net|ENSG00000150457|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:15985433""]"|small_scale_evidence|regulates|TFLink|ENSG00000134086|gene|tflink.net|ENSG00000072274|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:22081074"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000164611|gene|tflink.net|ENSG00000150760|gene|9606
"[""TRED""]"|inferred by curator|"[""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000205250|gene|tflink.net|ENSG00000142319|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:21720703"", ""pubmed:29087512"", ""pubmed:16373395""]"|small_scale_evidence|regulates|TFLink|ENSG00000141027|gene|tflink.net|ENSG00000169083|gene|9606
"[""TRED"", ""TRRUST""]"|inferred by curator|"[""pubmed:17202159"", ""pubmed:29087512"", ""pubmed:15187018""]"|small_scale_evidence|regulates|TFLink|ENSG00000158773|gene|tflink.net|ENSG00000163737|gene|9606
"[""GTRD"", ""IntAct_via_DoRothEA"", ""PAZAR"", ""ReMap""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:24234451"", ""pubmed:25303530"", ""pubmed:18971253"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000091831|gene|tflink.net|ENSG00000145901|gene|9606
"[""GTRD"", ""ReMap"", ""TFactS_via_DoRothea""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:22761861"", ""pubmed:11983916"", ""pubmed:29126285"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000136997|gene|tflink.net|ENSG00000096384|gene|9606
"[""TRED""]"|inferred by curator|"[""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000162599|gene|tflink.net|ENSG00000101981|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000118513|gene|tflink.net|ENSG00000204316|gene|9606
