database|detection_method|evidence|evidence_type|label|source|source_id|source_type|source_url|target_id|target_type|taxon_id
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:15955060""]"|small_scale_evidence|regulates|TFLink|ENSG00000186951|gene|tflink.net|ENSG00000004799|gene|9606
"[""GTRD"", ""ORegAnno"", ""PAZAR"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:24038216"", ""pubmed:29126285"", ""pubmed:26578589"", ""pubmed:18971253"", ""pubmed:27924024"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000066336|gene|tflink.net|ENSG00000035664|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29087512"", ""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:18291623""]"|small_scale_evidence|regulates|TFLink|ENSG00000185591|gene|tflink.net|ENSG00000137055|gene|9606
"[""IntAct_via_DoRothEA"", ""TRRUST""]"|inferred by curator|"[""pubmed:24234451"", ""pubmed:22537161"", ""pubmed:17525742"", ""pubmed:19757157"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000115415|gene|tflink.net|ENSG00000145113|gene|9606
"[""GTRD"", ""TRED"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:17202159"", ""pubmed:29087512"", ""pubmed:10771000"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000172845|gene|tflink.net|ENSG00000117971|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:29087512"", ""pubmed:22864611"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000196591|gene|tflink.net|ENSG00000164082|gene|9606
"[""GTRD"", ""HTRI"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation array chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:18414489"", ""pubmed:17202159"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000136997|gene|tflink.net|ENSG00000184787|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000136997|gene|tflink.net|ENSG00000196531|gene|9606
"[""GTRD"", ""HTRI"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay electrophoretic mobility shift assay inferred by curator|"[""pubmed:29126285"", ""pubmed:18698092"", ""pubmed:27924024"", ""pubmed:29087512"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000134954|gene|tflink.net|ENSG00000006638|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:22079628"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000128272|gene|tflink.net|ENSG00000147955|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:17487558""]"|small_scale_evidence|regulates|TFLink|ENSG00000233608|gene|tflink.net|ENSG00000026508|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:19724058"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000196588|gene|tflink.net|ENSG00000100985|gene|9606
"[""GTRD"", ""HTRI"", ""TRRUST""]"|chromatin immunoprecipitation assay electrophoretic mobility shift assay inferred by curator|"[""pubmed:29087512"", ""pubmed:22900683"", ""pubmed:11316759"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000185591|gene|tflink.net|ENSG00000188778|gene|9606
"[""GTRD"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:22761702"", ""pubmed:29087512"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000115415|gene|tflink.net|ENSG00000197272|gene|9606
"[""GTRD"", ""HTRI"", ""IntAct_via_DoRothEA"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:24234451"", ""pubmed:15644444"", ""pubmed:15927364"", ""pubmed:27924024"", ""pubmed:26859456"", ""pubmed:29087512"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000134323|gene|tflink.net|ENSG00000135679|gene|9606
"[""GTRD"", ""PAZAR"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:20217138"", ""pubmed:29126285"", ""pubmed:18971253"", ""pubmed:27924024"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000115415|gene|tflink.net|ENSG00000078401|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:9774680"", ""pubmed:11097782""]"|small_scale_evidence|regulates|TFLink|ENSG00000168066|gene|tflink.net|ENSG00000104899|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:20646448"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000064393|gene|tflink.net|ENSG00000085563|gene|9606
"[""GTRD"", ""HTRI"", ""ReMap"", ""TRED"", ""TRRUST""]"|chromatin immunoprecipitation assay electrophoretic mobility shift assay inferred by curator|"[""pubmed:29126285"", ""pubmed:12364593"", ""pubmed:11340078"", ""pubmed:27924024"", ""pubmed:17202159"", ""pubmed:29087512"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000185591|gene|tflink.net|ENSG00000178913|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:17513757"", ""pubmed:29087512"", ""pubmed:22797700""]"|small_scale_evidence|regulates|TFLink|ENSG00000169926|gene|tflink.net|ENSG00000271503|gene|9606
"[""GTRD"", ""ORegAnno"", ""PAZAR"", ""TFactS_via_DoRothea"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:26578589"", ""pubmed:22761861"", ""pubmed:18971253"", ""pubmed:27924024"", ""pubmed:7896852"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000120738|gene|tflink.net|ENSG00000118137|gene|9606
"[""GTRD"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|TFLink|ENSG00000170365|gene|tflink.net|ENSG00000108821|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:21465479"", ""pubmed:29087512""]"|small_scale_evidence|regulates|TFLink|ENSG00000179284|gene|tflink.net|ENSG00000118777|gene|9606
"[""GTRD"", ""ORegAnno"", ""PAZAR"", ""ReMap"", ""TFactS_via_DoRothea"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:17575144"", ""pubmed:15867357"", ""pubmed:29126285"", ""pubmed:26578589"", ""pubmed:22761861"", ""pubmed:18971253"", ""pubmed:29087512"", ""pubmed:27924024"", ""pubmed:24502362""]"|small_scale_evidence|regulates|TFLink|ENSG00000101412|gene|tflink.net|ENSG00000130816|gene|9606
"[""GTRD"", ""HTRI"", ""IntAct_via_DoRothEA"", ""ORegAnno"", ""PAZAR"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation array chromatin immunoprecipitation assay inferred by curator|"[""pubmed:16179649"", ""pubmed:29126285"", ""pubmed:24234451"", ""pubmed:26578589"", ""pubmed:18971253"", ""pubmed:27924024"", ""pubmed:17531812"", ""pubmed:17202159"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000205250|gene|tflink.net|ENSG00000145386|gene|9606
"[""GTRD"", ""HTRI"", ""ReMap"", ""TRED"", ""TRRUST""]"|chromatin immunoprecipitation assay electrophoretic mobility shift assay inferred by curator|"[""pubmed:22415074"", ""pubmed:29126285"", ""pubmed:19755513"", ""pubmed:9637785"", ""pubmed:10908361"", ""pubmed:11024050"", ""pubmed:27924024"", ""pubmed:17202159"", ""pubmed:29087512"", ""pubmed:22334592"", ""pubmed:22900683""]"|small_scale_evidence|regulates|TFLink|ENSG00000185591|gene|tflink.net|ENSG00000110092|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:21044953"", ""pubmed:29087512"", ""pubmed:29126285"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000128272|gene|tflink.net|ENSG00000120889|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:17521322"", ""pubmed:8662930"", ""pubmed:29087512"", ""pubmed:12057865""]"|small_scale_evidence|regulates|TFLink|ENSG00000179284|gene|tflink.net|ENSG00000005381|gene|9606
"[""TFactS_via_DoRothea""]"|inferred by curator|"[""pubmed:18924150"", ""pubmed:22761861""]"|small_scale_evidence|regulates|TFLink|ENSG00000111087|gene|tflink.net|ENSG00000182253|gene|9606
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:22235125"", ""pubmed:29087512"", ""pubmed:29126285"", ""pubmed:27924024""]"|small_scale_evidence|regulates|TFLink|ENSG00000157554|gene|tflink.net|ENSG00000090339|gene|9606
