database|detection_method|evidence|evidence_type|label|source_id|source_type|target_id|target_type|taxon_id
"[""GTRD"", ""ReMap"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:19148141"", ""pubmed:29087512"", ""pubmed:29126285"", ""pubmed:27924024""]"|small_scale_evidence|regulates|ENSG00000111704|gene|ENSG00000107984|gene|9606
"[""GTRD"", ""TRED"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:17202159"", ""pubmed:12839938"", ""pubmed:29087512"", ""pubmed:27924024""]"|small_scale_evidence|regulates|ENSG00000132170|gene|ENSG00000077092|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|ENSG00000118513|gene|ENSG00000185591|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:20565746""]"|small_scale_evidence|regulates|ENSG00000078399|gene|ENSG00000115738|gene|9606
"[""GTRD"", ""PAZAR"", ""ReMap"", ""TRED"", ""TRRUST""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:18971253"", ""pubmed:27924024"", ""pubmed:11477071"", ""pubmed:17202159"", ""pubmed:29087512""]"|small_scale_evidence|regulates|ENSG00000091831|gene|ENSG00000171223|gene|9606
"[""GTRD"", ""ReMap"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:29126285"", ""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|ENSG00000141510|gene|ENSG00000153933|gene|9606
"[""TRED""]"|inferred by curator|"[""pubmed:17202159""]"|small_scale_evidence|regulates|ENSG00000172819|gene|ENSG00000177606|gene|9606
"[""GTRD"", ""TRED""]"|chromatin immunoprecipitation assay inferred by curator|"[""pubmed:27924024"", ""pubmed:17202159""]"|small_scale_evidence|regulates|ENSG00000123268|gene|ENSG00000140538|gene|9606
"[""TFactS_via_DoRothea""]"|inferred by curator|"[""pubmed:11279127"", ""pubmed:22761861""]"|small_scale_evidence|regulates|ENSG00000101665|gene|ENSG00000108821|gene|9606
"[""TRRUST""]"|inferred by curator|"[""pubmed:29087512"", ""pubmed:21593445""]"|small_scale_evidence|regulates|ENSG00000197933|gene|ENSG00000169429|gene|9606
