source	target	score
ENSG00000121410	ENSG00000164615	2.19
ENSG00000121410	ENSG00000258818	2.19
ENSG00000121410	ENSG00000128309	2.19
ENSG00000121410	ENSG00000125122	2.19
ENSG00000121410	ENSG00000175336	2.19
ENSG00000121410	ENSG00000232533	2.18
ENSG00000121410	ENSG00000079557	2.18
ENSG00000121410	ENSG00000167414	2.18
ENSG00000121410	ENSG00000064961	2.18
ENSG00000121410	ENSG00000105254	2.18
ENSG00000121410	ENSG00000145826	2.17
ENSG00000121410	ENSG00000116857	2.17
ENSG00000121410	ENSG00000259642	2.17
ENSG00000121410	ENSG00000170175	2.17
ENSG00000121410	ENSG00000116661	2.17
ENSG00000121410	ENSG00000160233	2.17
ENSG00000121410	ENSG00000130643	2.17
ENSG00000121410	ENSG00000196421	2.17
ENSG00000121410	ENSG00000168890	2.16
ENSG00000121410	ENSG00000172809	2.15
ENSG00000121410	ENSG00000183688	2.15
ENSG00000121410	ENSG00000274015	2.15
ENSG00000121410	ENSG00000083844	2.15
ENSG00000121410	ENSG00000162368	2.15
ENSG00000121410	ENSG00000167641	2.15
ENSG00000121410	ENSG00000131495	2.15
ENSG00000121410	ENSG00000232112	2.15
ENSG00000121410	ENSG00000228288	2.15
ENSG00000121410	ENSG00000213398	2.15
ENSG00000121410	ENSG00000008988	2.14
ENSG00000121410	ENSG00000197951	2.14
ENSG00000121410	ENSG00000142534	2.14
ENSG00000121410	ENSG00000143702	2.14
ENSG00000121410	ENSG00000243279	2.14
ENSG00000121410	ENSG00000214226	2.14
ENSG00000121410	ENSG00000123131	2.13
ENSG00000121410	ENSG00000142937	2.13
ENSG00000121410	ENSG00000232388	2.13
ENSG00000121410	ENSG00000168303	2.13
ENSG00000121410	ENSG00000148908	2.13
ENSG00000121410	ENSG00000196967	2.13
ENSG00000121410	ENSG00000255517	2.12
ENSG00000121410	ENSG00000169738	2.12
ENSG00000121410	ENSG00000135722	2.12
ENSG00000121410	ENSG00000272677	2.12
ENSG00000121410	ENSG00000162267	2.12
ENSG00000121410	ENSG00000155970	2.12
ENSG00000121410	ENSG00000286264	2.11
ENSG00000121410	ENSG00000183617	2.11
ENSG00000121410	ENSG00000134389	2.11
ENSG00000121410	ENSG00000083814	2.11
ENSG00000121410	ENSG00000171443	2.11
ENSG00000121410	ENSG00000042753	2.11
ENSG00000121410	ENSG00000185418	2.11
ENSG00000121410	ENSG00000105419	2.11
ENSG00000121410	ENSG00000131188	2.10
ENSG00000121410	ENSG00000182318	2.10
ENSG00000121410	ENSG00000161653	2.10
ENSG00000121410	ENSG00000171119	2.10
ENSG00000121410	ENSG00000204344	2.10
ENSG00000121410	ENSG00000172667	2.10
ENSG00000121410	ENSG00000281649	2.10
ENSG00000121410	ENSG00000182899	2.09
ENSG00000121410	ENSG00000105427	2.09
ENSG00000121410	ENSG00000173511	2.09
ENSG00000121410	ENSG00000131116	2.08
ENSG00000121410	ENSG00000163584	2.07
ENSG00000121410	ENSG00000131409	2.07
ENSG00000121410	ENSG00000132635	2.07
ENSG00000121410	ENSG00000183011	2.07
ENSG00000121410	ENSG00000184083	2.07
ENSG00000121410	ENSG00000104774	2.07
ENSG00000121410	ENSG00000133027	2.07
ENSG00000121410	ENSG00000233493	2.06
ENSG00000121410	ENSG00000148362	2.06
ENSG00000121410	ENSG00000128011	2.06
ENSG00000121410	ENSG00000074842	2.06
ENSG00000121410	ENSG00000103202	2.06
ENSG00000121410	ENSG00000163462	2.06
ENSG00000121410	ENSG00000177410	2.06
ENSG00000121410	ENSG00000114956	2.06
ENSG00000121410	ENSG00000021852	2.06
ENSG00000121410	ENSG00000105373	2.05
ENSG00000121410	ENSG00000091513	2.05
ENSG00000121410	ENSG00000143278	2.05
ENSG00000121410	ENSG00000133256	2.05
ENSG00000121410	ENSG00000115525	2.05
ENSG00000121410	ENSG00000133983	2.05
ENSG00000121410	ENSG00000187045	2.05
ENSG00000121410	ENSG00000148834	2.04
ENSG00000121410	ENSG00000187650	2.04
ENSG00000121410	ENSG00000162572	2.04
ENSG00000121410	ENSG00000104870	2.04
ENSG00000121410	ENSG00000168172	2.04
ENSG00000121410	ENSG00000267106	2.04
ENSG00000121410	ENSG00000118292	2.03
ENSG00000121410	ENSG00000182871	2.03
ENSG00000121410	ENSG00000143845	2.03
ENSG00000121410	ENSG00000214575	2.03
ENSG00000121410	ENSG00000102575	2.03
ENSG00000121410	ENSG00000105270	2.02
ENSG00000121410	ENSG00000139547	2.02
ENSG00000121410	ENSG00000008324	2.02
ENSG00000121410	ENSG00000129910	2.02
ENSG00000121410	ENSG00000197119	2.02
ENSG00000121410	ENSG00000110700	2.02
ENSG00000121410	ENSG00000071889	2.02
ENSG00000121410	ENSG00000176428	2.02
ENSG00000121410	ENSG00000163794	2.02
ENSG00000121410	ENSG00000290720	2.02
ENSG00000121410	ENSG00000165644	2.02
ENSG00000121410	ENSG00000180425	2.01
ENSG00000121410	ENSG00000105519	2.01
ENSG00000121410	ENSG00000213563	2.01
ENSG00000121410	ENSG00000101400	2.01
ENSG00000121410	ENSG00000121406	2.01
ENSG00000121410	ENSG00000181817	2.01
ENSG00000121410	ENSG00000265681	2.01
ENSG00000121410	ENSG00000197355	2.01
ENSG00000121410	ENSG00000155961	2.01
ENSG00000121410	ENSG00000219626	2.00
ENSG00000121410	ENSG00000179292	2.00
ENSG00000121410	ENSG00000105697	2.00
ENSG00000121410	ENSG00000066379	2.00
ENSG00000121410	ENSG00000125611	2.00
ENSG00000121410	ENSG00000183248	2.00
ENSG00000121410	ENSG00000114125	2.00
ENSG00000121410	ENSG00000196437	1.99
ENSG00000121410	ENSG00000123144	1.99
ENSG00000121410	ENSG00000009724	1.99
ENSG00000121410	ENSG00000105520	1.99
ENSG00000121410	ENSG00000137101	1.99
ENSG00000121410	ENSG00000269190	1.99
ENSG00000121410	ENSG00000106624	1.99
ENSG00000121410	ENSG00000163702	1.98
ENSG00000121410	ENSG00000093183	1.98
ENSG00000121410	ENSG00000188186	1.98
ENSG00000121410	ENSG00000153896	1.98
ENSG00000121410	ENSG00000163328	1.98
ENSG00000121410	ENSG00000182310	1.98
ENSG00000121410	ENSG00000160325	1.98
ENSG00000121410	ENSG00000090006	1.98
ENSG00000121410	ENSG00000255529	1.97
ENSG00000121410	ENSG00000108107	1.97
ENSG00000121410	ENSG00000101199	1.97
ENSG00000121410	ENSG00000025708	1.97
ENSG00000121410	ENSG00000235961	1.97
ENSG00000121410	ENSG00000138606	1.97
ENSG00000121410	ENSG00000158122	1.97
ENSG00000121410	ENSG00000162244	1.97
ENSG00000121410	ENSG00000101323	1.96
ENSG00000121410	ENSG00000189227	1.96
ENSG00000121410	ENSG00000160013	1.96
ENSG00000121410	ENSG00000105223	1.96
ENSG00000121410	ENSG00000136152	1.96
ENSG00000121410	ENSG00000136490	1.96
ENSG00000121410	ENSG00000253250	1.96
ENSG00000121410	ENSG00000168887	1.96
ENSG00000121410	ENSG00000134825	1.95
ENSG00000121410	ENSG00000257727	1.95
ENSG00000121410	ENSG00000224032	1.95
ENSG00000121410	ENSG00000158792	1.95
ENSG00000121410	ENSG00000164897	1.94
ENSG00000121410	ENSG00000130751	1.94
ENSG00000121410	ENSG00000165828	1.94
ENSG00000121410	ENSG00000083807	1.94
ENSG00000121410	ENSG00000115718	1.94
ENSG00000121410	ENSG00000118508	1.94
ENSG00000121410	ENSG00000166770	1.94
ENSG00000121410	ENSG00000151006	1.94
ENSG00000121410	ENSG00000232442	1.93
ENSG00000121410	ENSG00000127415	1.93
ENSG00000121410	ENSG00000186010	1.93
ENSG00000121410	ENSG00000183648	1.93
ENSG00000121410	ENSG00000180089	1.92
ENSG00000121410	ENSG00000188785	1.92
ENSG00000121410	ENSG00000132432	1.92
ENSG00000121410	ENSG00000142541	1.92
ENSG00000121410	ENSG00000267534	1.91
ENSG00000121410	ENSG00000130522	1.91
ENSG00000121410	ENSG00000160991	1.91
ENSG00000121410	ENSG00000214941	1.91
ENSG00000121410	ENSG00000182670	1.91
ENSG00000121410	ENSG00000169964	1.91
ENSG00000121410	ENSG00000225756	1.91
ENSG00000121410	ENSG00000234118	1.91
ENSG00000121410	ENSG00000118271	1.91
ENSG00000121410	ENSG00000184402	1.90
ENSG00000121410	ENSG00000196632	1.90
ENSG00000121410	ENSG00000137880	1.90
ENSG00000121410	ENSG00000137204	1.90
ENSG00000121410	ENSG00000234608	1.90
ENSG00000121410	ENSG00000136840	1.90
ENSG00000121410	ENSG00000187266	1.90
ENSG00000121410	ENSG00000173531	1.90
ENSG00000121410	ENSG00000154589	1.90
ENSG00000121410	ENSG00000134590	1.90
ENSG00000121410	ENSG00000163463	1.90
ENSG00000121410	ENSG00000065057	1.89
ENSG00000121410	ENSG00000168734	1.89
ENSG00000121410	ENSG00000269386	1.89
ENSG00000121410	ENSG00000278249	1.89
ENSG00000121410	ENSG00000136295	1.89
ENSG00000121410	ENSG00000069966	1.89
ENSG00000121410	ENSG00000165886	1.89
ENSG00000121410	ENSG00000176171	1.89
ENSG00000121410	ENSG00000187840	1.89
ENSG00000121410	ENSG00000109181	1.89
ENSG00000121410	ENSG00000132703	1.89
ENSG00000121410	ENSG00000127561	1.88
ENSG00000121410	ENSG00000246705	1.88
ENSG00000121410	ENSG00000115226	1.88
ENSG00000121410	ENSG00000132535	1.88
ENSG00000121410	ENSG00000057593	1.88
ENSG00000121410	ENSG00000214309	1.88
ENSG00000121410	ENSG00000169740	1.88
ENSG00000121410	ENSG00000250799	1.88
ENSG00000121410	ENSG00000115286	1.88
ENSG00000121410	ENSG00000291128	1.88
ENSG00000121410	ENSG00000124370	1.88
ENSG00000121410	ENSG00000185187	1.88
ENSG00000121410	ENSG00000176018	1.87
ENSG00000121410	ENSG00000137078	1.87
ENSG00000121410	ENSG00000105613	1.87
ENSG00000121410	ENSG00000127184	1.87
ENSG00000121410	ENSG00000112306	1.87
ENSG00000121410	ENSG00000142046	1.87
ENSG00000121410	ENSG00000159650	1.87
ENSG00000121410	ENSG00000156411	1.87
ENSG00000121410	ENSG00000162729	1.86
ENSG00000121410	ENSG00000113595	1.86
ENSG00000121410	ENSG00000065054	1.86
ENSG00000121410	ENSG00000198721	1.86
ENSG00000121410	ENSG00000117602	1.86
ENSG00000121410	ENSG00000130770	1.85
ENSG00000121410	ENSG00000166126	1.85
ENSG00000121410	ENSG00000139266	1.85
ENSG00000121410	ENSG00000140988	1.85
ENSG00000121410	ENSG00000257698	1.85
ENSG00000121410	ENSG00000256806	1.85
ENSG00000121410	ENSG00000255284	1.85
ENSG00000121410	ENSG00000089351	1.85
ENSG00000121410	ENSG00000168118	1.84
ENSG00000121410	ENSG00000197180	1.84
ENSG00000121410	ENSG00000125520	1.84
ENSG00000121410	ENSG00000253948	1.84
ENSG00000121410	ENSG00000168101	1.84
ENSG00000121410	ENSG00000108947	1.84
ENSG00000121410	ENSG00000163682	1.84
