db_reference|evidence|label|qualifier|source_id|source_type|target_id|target_type|taxon_id
"[""GO_REF:0000024""]"|ISS|located_in|"[""located_in""]"|A6NCJ1|protein|GO_0005879|cellular_component|9606
"[""GO_REF:0000024""]"|ISS|located_in|"[""located_in""]"|A6NCL1|protein|GO_0005634|cellular_component|9606
"[""GO_REF:0000002""]"|IEA|located_in|"[""located_in""]"|A6NCL2|protein|GO_0005576|cellular_component|9606
"[""PMID:23580065""]"|HDA|located_in|"[""located_in""]"|A6NCN2|protein|GO_0005615|cellular_component|9606
"[""GO_REF:0000117""]"|IEA|located_in|"[""located_in""]"|A6NCN2|protein|GO_0005829|cellular_component|9606
"[""GO_REF:0000002""]"|IEA|located_in|"[""located_in""]"|A6NCN2|protein|GO_0045095|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NCQ9|protein|GO_0016020|cellular_component|9606
"[""PMID:15649947""]"|IC|located_in|"[""located_in""]"|A6NCS4|protein|GO_0005634|cellular_component|9606
"[""GO_REF:0000113""]"|ISA|located_in|"[""part_of""]"|A6NCS4|protein|GO_0000785|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NCV1|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NCW0|protein|GO_0005783|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6NCW7|protein|GO_0005783|cellular_component|9606
"[""Reactome:R-HSA-8940388""]"|TAS|located_in|"[""located_in""]"|A6ND01|protein|GO_0005576|cellular_component|9606
"[""Reactome:R-HSA-8940388""]"|TAS|located_in|"[""located_in""]"|A6ND01|protein|GO_0005886|cellular_component|9606
"[""GO_REF:0000044""]"|IEA|located_in|"[""located_in""]"|A6ND01|protein|GO_0031528|cellular_component|9606
"[""PMID:24554596""]"|IDA|located_in|"[""located_in""]"|A6ND36|protein|GO_0005634|cellular_component|9606
"[""GO_REF:0000052""]"|IDA|located_in|"[""located_in""]"|A6ND36|protein|GO_0005829|cellular_component|9606
