db_reference|evidence|label|qualifier|source_id|source_type|target_id|target_type|taxon_id
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A0X1KG70|protein|GO_0004984|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|A0A126GWI2|protein|GO_0004930|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A140TA62|protein|GO_0005198|molecular_function|9606
"[""GO_REF:0000024""]"|ISS|enables|"[""enables""]"|A0A1B0GTB2|protein|GO_0051117|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A1B0GTQ1|protein|GO_0005506|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|A0A1B0GTU1|protein|GO_0046872|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A1B0GTW7|protein|GO_0004222|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|A0A1B0GTW7|protein|GO_0046872|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|A0A1B0GUS4|protein|GO_0005524|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|A0A1B0GUS4|protein|GO_0016874|molecular_function|9606
"[""PMID:32296183""]"|IPI|enables|"[""enables""]"|A0A1B0GUV7|protein|GO_0005515|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A1B0GUV8|protein|GO_0036094|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A1B0GVH4|protein|GO_0004252|molecular_function|9606
"[""GO_REF:0000113""]"|ISA|enables|"[""enables""]"|A0A1B0GWH4|protein|GO_0000981|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A1B0GWK0|protein|GO_0005509|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A1W2PP81|protein|GO_0046982|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|A0A1W2PPD8|protein|GO_0016491|molecular_function|9606
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|A0A1W2PPD8|protein|GO_0046872|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A1W2PPE2|protein|GO_0046982|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A1W2PPF3|protein|GO_0000981|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A1W2PPH5|protein|GO_0046982|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A1W2PPL8|protein|GO_0046982|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A1W2PPW3|protein|GO_0046982|molecular_function|9606
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|A0A1W2PQ09|protein|GO_0046982|molecular_function|9606
"[""GO_REF:0000003""]"|IEA|enables|"[""enables""]"|A0A1W2PQ27|protein|GO_0017018|molecular_function|9606
"[""GO_REF:0000003""]"|IEA|enables|"[""enables""]"|A0A1W2PQ64|protein|GO_0017018|molecular_function|9606
"[""GO_REF:0000117""]"|IEA|enables|"[""enables""]"|A0A1W2PQ73|protein|GO_0043565|molecular_function|9606
"[""GO_REF:0000003""]"|IEA|enables|"[""enables""]"|A0A1W2PQC6|protein|GO_0017018|molecular_function|9606
"[""GO_REF:0000003""]"|IEA|enables|"[""enables""]"|A0A1W2PQD8|protein|GO_0017018|molecular_function|9606
"[""GO_REF:0000003""]"|IEA|enables|"[""enables""]"|A0A1W2PQJ5|protein|GO_0017018|molecular_function|9606
